;data_venda;faturado;valor_entrada;qtd_parcelas;primeiro_vencimento;valor_financiado;valor_parcela;mda;qtd_consultas_ate15dias;qtd_consultas_ate60dias;qtd_registros;qtd_contratos_quitados_cliente;qtd_contratos_abertos_cliente;media_atraso_cliente;sexo;data_nascimento;tel_fixo;estado_civil;dependentes;veiculo;veiculo_financiado;moradia;anos_residencia;ocupacao;telefone_comercial;data_admissao;salario;mda_cliente
1307;20120809;321.3;;2;20120909;321.3;160.65;7;0.0;0.0;0.0;2;;1.0;2;19630609.0;True;2;;;;;1.0;64.0;True;20001001.0;2000.0;12
1308;20120721;418.8;;5;20120821;418.8;83.76;31;2.0;3.0;0.0;1;;25.0;2;19530810.0;False;1;;;;;1.0;69.0;True;19890201.0;1302.0;32
1309;20120402;144.1;;5;20120502;144.1;28.82;8;;;;1;;0.0;1;19670913.0;True;2;;;;;1.0;49.0;True;19970701.0;1700.0;8
1310;20120510;100.0;;5;20120610;100.0;20.0;3;;;;1;1.0;0.0;1;19670913.0;True;2;;;;;1.0;49.0;True;19970701.0;1700.0;8
1311;20110504;38.0;;1;20110604;38.0;38.0;-2;1.0;2.0;0.0;1;;41.0;2;19560111.0;False;2;0.0;0.0;;1.0;;68.0;False;;701.0;81
1312;20110602;40.0;;2;20110702;40.0;20.0;-4;0.0;3.0;0.0;2;;26.0;2;19560111.0;False;2;0.0;0.0;;1.0;;68.0;False;;701.0;81
1313;20120224;58.8;;1;20120324;58.8;58.8;4;0.0;0.0;0.0;3;;14.0;2;19560111.0;False;2;0.0;0.0;;1.0;;68.0;False;;701.0;81
1314;20120413;42.4;;2;20120513;42.4;21.2;-2;0.0;0.0;0.0;4;;12.0;2;19560111.0;False;2;0.0;0.0;;1.0;;68.0;False;;701.0;81
1315;20120503;15.2;;1;20120603;15.2;15.2;8;0.0;0.0;0.0;4;1.0;9.0;2;19560111.0;False;2;0.0;0.0;;1.0;;68.0;False;;701.0;81
1316;20130111;94.8;;5;20130211;94.8;18.96;-7;0.0;0.0;0.0;2;;0.0;2;19390321.0;True;2;;;;;2.0;68.0;True;19800201.0;2160.0;-1
1317;20120208;198.8;;5;20120308;198.8;39.76;-2;;;;1;;0.0;1;19670404.0;True;2;;;;;1.0;50.0;True;20001001.0;1450.0;4
1318;20120504;119.8;;4;20120604;119.8;29.95;4;;;;1;1.0;0.0;1;19670404.0;True;2;;;;;1.0;50.0;True;20001001.0;1450.0;4
1319;20121030;86.7;;2;20121130;86.7;43.35;0;0.0;0.0;0.0;2;;4.0;1;19350106.0;True;2;;;;;1.0;68.0;True;20050201.0;800.0;7
1320;20120721;206.7;;5;20120821;206.7;41.34;13;;;;2;;1.0;1;19640820.0;True;2;;;;;2.0;49.0;True;20000101.0;1500.0;21
1321;20121006;219.8;;4;20121106;219.8;54.95;7;0.0;0.0;0.0;2;1.0;1.0;1;19640820.0;True;2;;;;;2.0;49.0;True;20000101.0;1500.0;21
1322;20121215;79.8;;3;20130115;79.8;26.6;7;;;;3;1.0;3.0;1;19640820.0;True;2;;;;;2.0;49.0;True;20000101.0;1500.0;21
1323;20130318;469.6;;5;20130418;469.6;93.92;20;;;;5;;3.0;1;19640820.0;True;2;;;;;2.0;49.0;True;20000101.0;1500.0;21
1324;20120213;484.1;;5;20120313;484.1;96.82;-2;;;;1;1.0;36.0;1;19490810.0;True;2;;;;;2.0;49.0;True;20100201.0;1700.0;75
1325;20120407;133.8;;3;20120507;133.8;44.6;17;;;;1;2.0;18.0;1;19490810.0;True;2;;;;;2.0;49.0;True;20100201.0;1700.0;75
1326;20120803;139.8;;3;20120903;139.8;46.6;15;;;;4;;10.0;1;19490810.0;True;2;;;;;2.0;49.0;True;20100201.0;1700.0;75
