;faturado;valor_entrada;qtd_parcelas;valor_financiado;valor_parcela;mda;qtd_consultas_ate15dias;qtd_consultas_ate60dias;qtd_registros;qtd_contratos_quitados_cliente;qtd_contratos_abertos_cliente;media_atraso_cliente;sexo;idade;tel_fixo;estado_civil;dependentes;veiculo;veiculo_financiado;moradia;anos_residencia;ocupacao;telefone_comercial;anos_empresa;salario;mda_cliente
555;157.99;;3;157.99;52.66;-3;0.0;0.0;0.0;2;;9.0;1;32;False;1;0.0;0.0;True;1.0;23.0;76.0;True;7;745.0;27
556;114.99;;3;114.99;38.33;-1;0.0;1.0;0.0;2;1.0;6.0;1;32;False;1;0.0;0.0;True;1.0;23.0;76.0;True;7;745.0;27
557;169.99;;3;169.99;56.66;17;0.0;0.0;0.0;4;;0.0;1;32;False;1;0.0;0.0;True;1.0;23.0;76.0;True;7;745.0;27
558;300.0;;4;300.0;75.0;0;0.0;0.0;0.0;0;1.0;;2;70;True;4;0.0;0.0;True;1.0;34.0;68.0;False;0;1170.0;0
559;217.8;;4;217.8;54.45;0;0.0;0.0;0.0;0;1.0;;2;70;True;4;0.0;0.0;True;1.0;34.0;68.0;False;0;1170.0;0
560;300.0;;5;307.5;61.5;6;0.0;0.0;0.0;0;;;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
561;492.59;;5;500.1;100.02;10;0.0;0.0;0.0;1;;0.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
562;282.58;;6;291.6;48.6;13;0.0;0.0;0.0;2;;2.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
563;237.17;;6;246.18;41.03;4;0.0;0.0;0.0;2;1.0;2.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
564;87.79;;4;93.8;23.45;3;0.0;0.0;0.0;4;1.0;1.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
565;19.89;;4;19.89;4.97;34;0.0;0.0;0.0;4;1.0;1.0;2;57;True;3;0.0;0.0;True;1.0;1.0;27.0;True;7;1020.0;34
